X1,X2,y
458.7,458.7,1187
488.5,488.5,1149.1
588.3,588.3,1268.3
613.3,613.3,1124.9
606.7,606.7,1194.5
574.7,574.7,1225.5
601.8,601.8,1244.6
761.8,761.8,1456.3
927,927,1646.1
750,750,1636
693.2,693.2,1458
753.3,753.3,1429.3
697.2,697.2,1506.2
757.5,757.5,1679.5
732.3,732.3,1842.6
887.6,887.6,2161.8
761,761,1779.5
691.2,691.2,1689.3
636.8,636.8,1755.6
662.1,662.1,1817.1
584.4,584.4,1456.6
630.9,630.9,1519.8
874.1,874.1,1886.4
1045.7,1045.7,1888.6
1011.6,1011.6,1791.5
878.5,878.5,1564.7
803.9,803.9,1362.5
777.2,777.2,1361.3
706.8,706.8,1186.2
601,601,957.8
592.6,592.6,882.6
534.2,534.2,873.6
530,530,834.6
413.3,413.3,721.6
394.9,394.9,702.4
342,342,628
378.7,378.7,680.5
362.7,362.7,642.2
367,367,681.8
336.4,336.4,618.8
274.9,274.9,498.6
265.3,265.3,474.3
283.6,283.6,492.5
229.5,229.5,434.7
304.2,304.2,517.3
348,348,643.8
329.5,329.5,573.2
304.9,304.9,615.8
301.1,301.1,632.8
302.6,302.6,631.2
289.2,289.2,641.4
298.1,298.1,549.3
286.3,286.3,525.6
266.7,266.7,491.8
267.9,267.9,457.7
291.7,291.7,490.9
310.7,310.7,537.1
321.1,321.1,546.1
309.1,309.1,510
298.8,298.8,502
247.2,247.2,414.9
255.1,255.1,414.7
250.8,250.8,401
222.3,222.3,369.4
394.4,394.4,604.5
411.8,411.8,645.9
388.1,388.1,617.3
522,522,765.5
523.9,523.9,800.8
624.5,624.5,959.8
707.2,707.2,1057.3
803.7,803.7,1087.3
661,661,963.8
729,729,994.5
768.4,768.4,1078.8
1063.4,1063.4,1464
1489.8,1489.8,2112.1
1569.1,1569.1,2680.2
1359.7,1359.7,2262.3
1103,1103,1799.9
856.9,856.9,1201.2
742.3,742.3,1119.9
757.6,757.6,1088.9
684.1,684.1,930.3
687.4,687.4,953.2
568.3,568.3,848.4
542.3,542.3,811.6
518.5,518.5,757.3
634.8,634.8,932.9
667.3,667.3,971.2
650,650,992.4
587.7,587.7,934.6
574.4,574.4,884.7
491.6,491.6,766.4
464.9,464.9,712.6
437.3,437.3,679.6
444.6,444.6,689
481.4,481.4,728.7
518.6,518.6,762.1
690.1,690.1,1057.3
775.6,775.6,1171.8
644.3,644.3,957.4
717.7,717.7,1090.1
622.6,622.6,951.1
566.5,566.5,859.4
566.5,566.5,876.7
648.8,648.8,1015.2
563.9,563.9,953.8
540,540,906.1
501.9,501.9,847.2
504.1,504.1,842.4
473.1,473.1,781.2
450.7,450.7,720.9
456.4,456.4,699.3
413.8,413.8,604.6
421.2,421.2,637
434.2,434.2,642.3
439.3,439.3,659
392.5,392.5,609
354.8,354.8,577.7
383.3,383.3,605.2
344,344,539.6
336.6,336.6,511.9
333.1,333.1,500.4
330,330,519.4
378.1,378.1,595.1
420.5,420.5,667.8
413,413,687.2
484.3,484.3,812
475,475,810.7
439.4,439.4,769.7
473.1,473.1,816.1
498.3,498.3,879.4
547.6,547.6,964.1
634.3,634.3,1055.6
635.4,635.4,1327.6
345.9,345.9,668.8
374.9,374.9,691.8
351.3,351.3,661.8
360.7,360.7,679.9
347.4,347.4,649.1
370.4,370.4,698.7
328.2,328.2,636.8
347.8,347.8,618
315.8,315.8,579.9
329.8,329.8,594.6
363.6,363.6,643.5
342.6,342.6,634.3
370.8,370.8,639.9
371.7,371.7,598.3
349.8,349.8,553.6
335.1,335.1,610.7
312.3,312.3,583.7
372.2,372.2,693
415.8,415.8,809.2
